grant_name,state,amount,industry,slug,deadline,description
Florida Innovation Research Grant (SBIR),Florida,"$150,000",Technology,florida-innovation-research-grant-sbir,December 2026,"Funding is the lifeblood of innovation, and the Florida Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
North Carolina Veteran Business Support Grant,North Carolina,"$5,000",Varies,north-carolina-veteran-business-support-grant,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Texas Green Energy Expansion Grant,Texas,"$50,000",Sustainability,texas-green-energy-expansion-grant,December 2026,"The Texas Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Texas. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Texas Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Texas. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Texas Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Texas. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Texas Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Texas. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Michigan Growth Grant for Minorities,Michigan,"$10,000",General,michigan-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Michigan Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Michigan. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Michigan Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Michigan. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Michigan Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Michigan. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Michigan Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Michigan. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
Michigan Women-Owned Startup Fund,Michigan,"$25,000",Retail/Service,michigan-women-owned-startup-fund,December 2026,"Small business owners in Michigan can now access the Michigan Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Michigan Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Small business owners in Michigan can now access the Michigan Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Michigan Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Small business owners in Michigan can now access the Michigan Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Michigan Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Small business owners in Michigan can now access the Michigan Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Michigan Women-Owned Startup Fund, helping you navigate the complex US grant landscape. "
California Veteran Business Support Grant,California,"$5,000",Varies,california-veteran-business-support-grant,December 2026,"Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the California Veteran Business Support Grant, helping you navigate the complex US grant landscape. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the California Veteran Business Support Grant, helping you navigate the complex US grant landscape. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the California Veteran Business Support Grant, helping you navigate the complex US grant landscape. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the California Veteran Business Support Grant, helping you navigate the complex US grant landscape. "
Texas Growth Grant for Minorities,Texas,"$10,000",General,texas-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Texas Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Texas Innovation Research Grant (SBIR),Texas,"$150,000",Technology,texas-innovation-research-grant-sbir,December 2026,"Funding is the lifeblood of innovation, and the Texas Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Texas Innovation Research Grant (SBIR) provides exactly that for Technology companies. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Texas Veteran Business Support Grant,Texas,"$5,000",Varies,texas-veteran-business-support-grant,December 2026,Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Texas can now access the Texas Veteran Business Support Grant to scale their operations. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Texas-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
Georgia Women-Owned Startup Fund,Georgia,"$25,000",Retail/Service,georgia-women-owned-startup-fund,December 2026,"Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. "
Florida Growth Grant for Minorities,Florida,"$10,000",General,florida-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Florida Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Florida Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Florida Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Florida Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Florida Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
California Green Energy Expansion Grant,California,"$50,000",Sustainability,california-green-energy-expansion-grant,December 2026,"The California Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in California. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in California. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in California. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. The California Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in California. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
California Green Energy Expansion Grant,California,"$50,000",Sustainability,california-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the California Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the California Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the California Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the California Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the California Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the California Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the California Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the California Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Illinois. Our directory provides the roadmap to securing the Illinois Women-Owned Startup Fund, helping you navigate the complex US grant landscape. "
Texas Innovation Research Grant (SBIR),Texas,"$150,000",Technology,texas-innovation-research-grant-sbir,December 2026,"The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. The Texas Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Texas Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. "
Ohio Veteran Business Support Grant,Ohio,"$5,000",Varies,ohio-veteran-business-support-grant,December 2026,"Funding is the lifeblood of innovation, and the Ohio Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Veteran Business Support Grant, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Veteran Business Support Grant, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Veteran Business Support Grant, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Veteran Business Support Grant provides exactly that for Varies companies. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Ohio Veteran Business Support Grant, helping you navigate the complex US grant landscape. "
Ohio Women-Owned Startup Fund,Ohio,"$25,000",Retail/Service,ohio-women-owned-startup-fund,December 2026,The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
California Veteran Business Support Grant,California,"$5,000",Varies,california-veteran-business-support-grant,December 2026,"The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The California Veteran Business Support Grant represents a significant opportunity for entrepreneurs in California. This $5,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
Illinois Green Energy Expansion Grant,Illinois,"$50,000",Sustainability,illinois-green-energy-expansion-grant,December 2026,"Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. With a total award of $50,000, this program is designed to offset the rising costs of labor and technology in Illinois. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
New York Growth Grant for Minorities,New York,"$10,000",General,new-york-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Texas Growth Grant for Minorities,Texas,"$10,000",General,texas-growth-grant-for-minorities,December 2026,"Small business owners in Texas can now access the Texas Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in Texas can now access the Texas Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in Texas can now access the Texas Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in Texas can now access the Texas Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Texas. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
New York Growth Grant for Minorities,New York,"$10,000",General,new-york-growth-grant-for-minorities,December 2026,"Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
Florida Innovation Research Grant (SBIR),Florida,"$150,000",Technology,florida-innovation-research-grant-sbir,December 2026,"Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. Our directory provides the roadmap to securing the Florida Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. Our directory provides the roadmap to securing the Florida Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. Our directory provides the roadmap to securing the Florida Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. Small business owners in Florida can now access the Florida Innovation Research Grant (SBIR) to scale their operations. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Florida. Our directory provides the roadmap to securing the Florida Innovation Research Grant (SBIR), helping you navigate the complex US grant landscape. "
Pennsylvania Innovation Research Grant (SBIR),Pennsylvania,"$150,000",Technology,pennsylvania-innovation-research-grant-sbir,December 2026,"Small business owners in Pennsylvania can now access the Pennsylvania Innovation Research Grant (SBIR) to scale their operations. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Innovation Research Grant (SBIR) to scale their operations. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Innovation Research Grant (SBIR) to scale their operations. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in Pennsylvania can now access the Pennsylvania Innovation Research Grant (SBIR) to scale their operations. This $150,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Georgia Innovation Research Grant (SBIR),Georgia,"$150,000",Technology,georgia-innovation-research-grant-sbir,December 2026,"The Georgia Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Georgia. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. The Georgia Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Georgia. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. The Georgia Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Georgia. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. The Georgia Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Georgia. With a total award of $150,000, this program is designed to offset the rising costs of labor and technology in Georgia. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. "
New York Growth Grant for Minorities,New York,"$10,000",General,new-york-growth-grant-for-minorities,December 2026,"Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in New York can now access the New York Growth Grant for Minorities to scale their operations. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in New York. Don't miss the deadline for this New York-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
